CA,sand.state,state.fips,fips.code,CFPL,zillow.forc,forc.high,hh2000
1,1,06,06099,1,1828.2062,1,150807
1,1,06,06101,0,325.5023,1,28319
1,1,06,06101,1,1346.9336,1,28319
1,1,06,06103,0,142.25,0,23547
1,1,06,06103,1,1486.3201,0,23547
1,1,06,06107,0,165.5838,1,119639
1,1,06,06107,1,996.9811,1,119639
1,1,06,06111,0,164.6176,1,251712
1,1,06,06111,1,625.2808,1,251712
1,1,06,06113,0,243.3414,1,61587
1,1,06,06113,1,997.375,1,61587
1,1,06,06115,0,520.4094,1,22636
1,1,06,06115,1,2038.532,1,22636
0,0,08,08001,0,537.1114,0,132594
0,0,08,08001,1,888.7075,0,132594
0,0,08,08005,0,441.3711,0,196835
0,0,08,08005,1,784.7732,0,196835
0,0,08,08013,0,114.1679,0,119900
0,0,08,08013,1,267.7515,0,119900
0,0,08,08031,0,432.0774,0,251435
0,0,08,08031,1,629.1217,0,251435
0,0,08,08035,0,206.3481,0,63333
0,0,08,08035,1,480.7855,0,63333
0,0,08,08037,0,30.3308,0,22111
0,0,08,08037,1,318.7048,0,22111
0,0,08,08039,0,253.1436,0,7113
0,0,08,08039,1,693.705359285466,0,7113
0,0,08,08041,0,266.5442,0,202428
0,0,08,08041,1,476.7357,0,202428
0,0,08,08045,0,59.1034,0,17336
0,0,08,08045,1,507.510135700441,0,17336
0,0,08,08047,0,241.7291,0,2929
0,0,08,08047,1,761.823395130328,0,2929
0,0,08,08059,0,179.559,0,212488
0,0,08,08059,1,389.1343,0,212488
0,0,08,08067,0,28.483,0,20765
0,0,08,08067,1,334.1322,0,20765
0,0,08,08069,0,247.901,0,105392
0,0,08,08069,1,369.2169,0,105392
0,0,08,08077,0,90.0518,0,48427
0,0,08,08077,1,1107.5525,0,48427
0,0,08,08093,0,153.9133,0,10697
0,0,08,08093,1,776.629058406263,0,10697
0,0,08,08101,0,277.9228,0,58926
0,0,08,08101,1,570.1413,0,58926
0,0,08,08119,0,103.362681986336,0,10362
0,0,08,08119,1,663.734141083891,0,10362
0,0,08,08123,0,438.928,0,66194
0,0,08,08123,1,976.9096,0,66194
0,0,09,09001,0,14.5844,0,339466
0,0,09,09001,1,147.2436,0,339466
0,0,09,09003,0,16.8203,0,353022
0,0,09,09003,1,165.8033,0,353022
0,0,09,09005,0,19.9622,0,79267
0,0,09,09005,1,215.6423,0,79267
0,0,09,09007,0,17.4295,0,67285
0,0,09,09007,1,119.5612,0,67285
0,0,09,09009,0,14.7344,0,340732
0,0,09,09009,1,170.6443,0,340732
0,0,09,09011,0,26.4224,0,110674
0,0,09,09011,1,165.9292,0,110674
0,0,09,09013,0,13.8027,0,51570
0,0,09,09013,1,137.3131,0,51570
0,0,09,09015,0,23.1634,0,43959
0,0,09,09015,1,306.0967,0,43959
0,0,10,10001,0,21.9488640537061,0,50481
